NUMBER,NAME,LOCATION,ADDRESS,COURT
73,Arena Badminton Perak,Perak,"Kompleks Sukan Ipoh, 31400 Ipoh, Perak",Badminton
74,Winning Futsal,Perak,"Lot 1943, Jalan Kampung Dew, Jalan Simpang Halt, 34700 Simpang",Futsal
75,Silver Fox Futsal,Perak,"3150, 31500 Ipoh, Perak",Futsal
76,T. Z.Y Sport Arena,Perak,"121, Jalan Lahat, 30200 Ipoh, Perak",Badminton
77,Kok Bou Badminton Court,Perak,"71, Hala Perusahaan Menglembu 5, Kawasan Perusahaan Menglembu,",Badminton
78,Dewan Badminton Bandar Lahat Baru,Perak,"31500, No.1, Laluan Lahat Baru 1, 31500 Lahat, Perak",Badminton
79,D' Legend Badminton Court,Perak,"84, Jalan Besar, Hulu Bernam, 35900 Tanjong Malim, Perak",Badminton
80,Pro Sport Futsal Arena,Perak,"130-132, Jalan Lahat, 30200 Ipoh, Perak",Futsal
81,Kompleks Sukan dan Komuniti Simpang Pertang,Negeri Sembilan,"Jalan Pekan, Simpang Pertang 72300, Simpang Pertang",Badminton
82,KOMBES Paroi,Negeri Sembilan,"Tapian Gelanggang Paroi, 70400 Seremban, Negeri Sembilan","Badminton, Futsal, Tennis"
83,Center Court Kompleks Sukan Negeri,Negeri Sembilan,"Stadium Tuanku Abdul Rahman, 70400 Seremban, Negeri Sembilan","Futsal, Tennis, Volleyball"
84,Micheal's Badminton Academy,Negeri Sembilan,"Dewan Badminton MBA, Lot 4034 Jalan Kuala Lukut, 71010 Port Dickson, Negeri Sembilan",Badminton
85,KRM Kuala Pilah,Negeri Sembilan,"Kompleks Rakan Muda Kuala Pilah, Jalan Melang, 72000 Kuala Pilah, Negeri Sembilan","Badminton, Futsal, Volleyball, Squash"
86,KRM Jempol,Negeri Sembilan,"Kompleks Rakan Muda Jempol, Jalan Kasih, Bandar Sri Jempol, 72120 Bandar Sri Jempol, Negeri Sembilan","Badminton, Futsal, Volleyball, Squash"
87,GR Sports Centre,Negeri Sembilan,"Lot 13579, Jalan SJ 3/11, Taman Seremban Jaya, 70450 Senawang",Badminton
88,Summer Sport Centre,Negeri Sembilan,"348, Jalan Haruan 7, Oakland Commercial Centre, 70300 Seremban, Negeri Sembilan",Badminton
89,Sendayan Sport Centre,Negeri Sembilan,"Persiaran Metro Sendayan 1, Bandar Sri Sendayan, Kampong Felda Sendayan, 70300 Siliau, Negeri Sembilan",Badminton
90,DreamBadminton Sports Complex Nilai,Negeri Sembilan,"PT No. 22318, Jalan Kolej, Desa Kolej, Putra Nilai, 71800 Nilai, Negeri Sembilan",Badminton
91,Dewan Bahau Storm Badminton Sport Centre,Negeri Sembilan,"Pt 1993, 1994, Taman Industri, 72100, 72100 Bahau, Negeri Sembilan",Badminton
92,All Stars Futsal,Negeri Sembilan,"5007, Persiaran Senawang 2, Pusat Bandar Senawang, 70450 Seremban, Negeri Sembilan",Futsal
93,Public Star Futsal,Negeri Sembilan,"Public Star Futsal Jalan Haruan 8 Kawasan Perindustrian Oakland, Seremban 2, 70300 Seremban, Negeri Sembilan",Futsal
94,X Park Sendayan,Negeri Sembilan,"Jalan Pusat Dagangan Sendayan 1, Bandar Sri Sendayan, 71950 Siliau, Negeri Sembilan","Badminton, Futsal"
